pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass,sy_snum,sy_pnum,discoverymethod,pl_bmasse
Kepler-1584 b,Kepler-1584,2016,1.61,13.3997099,0.1168,886.0,0.0,6069.0,1.13,1.1,1,1,Transit,3.22
Kepler-1585 b,Kepler-1585,2016,1.79,3.5827463,0.0445,1064.0,0.0,5538.0,0.91,0.94,1,1,Transit,3.86
Kepler-1586 b,Kepler-1586,2016,1.52,15.6049212,0.12208,1013.0,0.0,6681.0,1.75,1.45,1,1,Transit,2.92
Kepler-1587 b,Kepler-1587,2016,1.33,9.4060467,0.08747,981.0,0.0,5933.0,1.22,1.08,1,1,Transit,2.33
Kepler-1588 b,Kepler-1588,2016,0.76,7.84931739,0.07419,925.0,0.0,5817.0,0.99,0.96,1,1,Transit,0.363
Kepler-159 b,Kepler-159,2014,2.38,10.139623,0.082,447.0,0.0,4625.0,0.663,0.628,1,2,Transit,6.26
Kepler-1590 b,Kepler-1590,2016,1.14,7.61760804,0.07116,1020.0,0.0,6053.0,1.16,1.11,1,1,Transit,1.55
Kepler-1591 b,Kepler-1591,2016,1.27,8.18504949,0.0794,892.0,0.0,6082.0,1.16,1.1,1,1,Transit,2.15
Kepler-1593 b,Kepler-1593,2016,3.17,174.509835,0.55494,260.0,0.0,4995.0,0.77,0.81,1,1,Transit,10.2
Kepler-1594 b,Kepler-1594,2016,1.06,2.71603809,0.0396,1360.0,0.0,5946.0,1.08,1.06,1,1,Transit,1.2
Kepler-1595 b,Kepler-1595,2016,1.23,4.56380468,0.051,980.0,0.0,5203.0,0.8,0.84,1,1,Transit,2.04
Kepler-1596 b,Kepler-1596,2016,1.9,66.373379,0.3237,471.0,0.0,5706.0,0.92,0.95,1,1,Transit,4.27
Kepler-1597 b,Kepler-1597,2016,1.06,2.94654179,0.04136,1497.0,0.0,6377.0,1.39,1.25,1,1,Transit,1.2
Kepler-1598 b,Kepler-1598,2016,0.95,4.34195123,0.05207,1236.0,0.0,5940.0,1.09,1.07,1,1,Transit,0.809
Kepler-16 b,Kepler-16,2011,8.4493,228.776,0.7048,205.9,0.0069,4450.0,0.6489,0.6897,2,1,Transit,105.833
Kepler-160 b,Kepler-160,2014,1.715,4.309397,0.05511,1134.0,0.0,5471.0,1.118,1.003,1,3,Transit,3.59
Kepler-160 c,Kepler-160,2014,3.76,13.699429,0.1192,771.0,0.0,5471.0,1.118,1.003,1,3,Transit,13.6
Kepler-1600 b,Kepler-1600,2016,3.13,386.370548,0.98141,209.0,0.0,5214.0,0.82,0.86,1,2,Transit,9.96
Kepler-1600 c,Kepler-1600,2021,1.94206512,7.298049927,0.06961,786.0,0.0,5119.0,0.834,0.818,1,2,Transit,4.43
Kepler-1601 b,Kepler-1601,2016,0.82,2.20921951,0.03281,1507.0,0.0,5869.0,1.07,1.04,1,1,Transit,0.477
Kepler-1602 b,Kepler-1602,2016,1.34,11.17931605,0.09744,1159.0,0.0,6296.0,1.36,1.22,1,1,Transit,2.36
Kepler-1603 b,Kepler-1603,2016,1.29,2.27163926,0.0351,1522.0,0.0,6241.0,1.31,1.21,1,1,Transit,2.21
Kepler-1604 b,Kepler-1604,2016,1.41,0.683684256,0.01406,2023.0,0.0,4976.0,0.76,0.81,1,1,Transit,2.57
Kepler-1605 b,Kepler-1605,2016,1.08,85.7565495,0.36567,528.0,0.0,5280.0,0.82,0.86,1,1,Transit,1.28
Kepler-1607 b,Kepler-1607,2016,0.92,13.6473676,0.11978,913.0,0.0,6116.0,1.21,1.14,1,1,Transit,0.721
Kepler-1608 b,Kepler-1608,2016,1.73,16.4735686,0.1126,612.0,0.0,4992.0,0.72,0.75,1,1,Transit,3.64
Kepler-1609 b,Kepler-1609,2016,2.22,114.34219,0.4679,429.0,0.0,6132.0,1.27,1.18,1,1,Transit,5.56
Kepler-161 b,Kepler-161,2014,2.12,4.921355,0.054,868.0,0.0,5078.0,0.806,0.853,1,2,Transit,2.63
Kepler-1610 c,Kepler-1610,2023,2.09,44.9851885,0.2323,433.0,0.0,5295.0,0.8,0.825,1,2,Transit,5.02
Kepler-1611 b,Kepler-1611,2016,0.81,5.1762429,0.0586,1243.0,0.0,5605.0,0.93,0.94,1,1,Transit,0.457
Kepler-1612 b,Kepler-1612,2016,1.03,3.91795101,0.0482,1030.0,0.0,5643.0,0.94,0.96,1,1,Transit,1.08
Kepler-1613 b,Kepler-1613,2016,2.08,1.5184299,0.02755,1926.0,0.0,6005.0,1.12,1.08,1,1,Transit,4.98
Kepler-1614 b,Kepler-1614,2016,1.49,3.9466141,0.0471,981.0,0.0,5121.0,0.76,0.79,1,1,Transit,2.83
Kepler-1615 b,Kepler-1615,2016,2.06,47.3126192,0.2788,658.0,0.0,5865.0,1.05,1.04,1,1,Transit,4.9
Kepler-1617 b,Kepler-1617,2016,1.2,27.4785572,0.17707,736.0,0.0,6167.0,1.22,1.15,1,1,Transit,1.87
Kepler-1619 b,Kepler-1619,2016,0.76,23.6225913,0.15413,797.0,0.0,5852.0,1.0,1.0,1,1,Transit,0.363
Kepler-162 b,Kepler-162,2014,1.26,6.919798,0.069,961.0,0.0,5816.0,0.958,1.053,1,2,Transit,2.13
Kepler-162 c,Kepler-162,2014,3.03,19.446355,0.137,681.0,0.0,5816.0,0.958,1.053,1,2,Transit,9.43
Kepler-1621 b,Kepler-1621,2016,2.16,92.263714,0.4204,469.0,0.0,6158.0,1.24,1.15,1,1,Transit,5.31
Kepler-1623 b,Kepler-1623,2016,1.31,4.36128348,0.0518,1000.0,0.0,5772.0,1.0,1.0,1,1,Transit,2.27
Kepler-1625 b,Kepler-1625,2016,6.06,287.378949,0.87762,350.0,0.0,5677.0,0.94,0.96,1,1,Transit,30.6
Kepler-1627 b,Kepler-1627,2016,3.69,7.20283653,0.0643,794.0,0.0,5445.0,0.84,0.87,1,1,Transit,13.2
Kepler-1629 b,Kepler-1629,2016,0.77,3.87595807,0.0485,1081.0,0.0,5776.0,1.01,1.01,1,1,Transit,0.381
Kepler-163 b,Kepler-163,2014,1.05,7.810937,0.078,906.0,0.0,5776.0,0.917,0.882,1,2,Transit,1.16
Kepler-163 c,Kepler-163,2014,2.26,21.347262,0.152,648.0,0.0,5776.0,0.917,0.882,1,2,Transit,5.73
Kepler-1630 b,Kepler-1630,2016,2.19,509.997402,1.1218,182.0,0.0,4736.0,0.63,0.66,1,1,Transit,5.43
Kepler-1631 b,Kepler-1631,2016,1.35,4.09513932,0.0511,1122.0,0.0,5679.0,0.95,0.97,1,1,Transit,2.39
Kepler-1632 b,Kepler-1632,2016,2.47,448.303558,0.6762,369.0,0.0,6137.0,1.19,1.12,1,1,Transit,6.66
Kepler-1634 b,Kepler-1634,2016,3.19,374.876239,1.0525,282.0,0.0,5474.0,0.89,0.92,1,1,Transit,10.3
Kepler-1635 b,Kepler-1635,2016,3.64,469.63111,1.12664,200.0,0.0,5347.0,0.85,0.89,1,1,Transit,12.9
Kepler-1636 b,Kepler-1636,2016,3.23,425.47785,1.12191,248.0,0.0,5797.0,1.02,1.01,1,1,Transit,10.5
Kepler-1637 b,Kepler-1637,2016,0.89,6.10960324,0.0596,1093.0,0.0,5789.0,1.02,1.02,1,1,Transit,0.64
Kepler-1638 b,Kepler-1638,2016,1.87,259.33683,0.745,304.0,0.0,5710.0,0.95,0.97,1,1,Transit,4.16
Kepler-1639 b,Kepler-1639,2016,2.58,9.878482,0.0932,1003.0,0.0,6150.0,1.18,1.12,1,1,Transit,7.18
Kepler-164 b,Kepler-164,2014,1.41,5.03503,0.058,1141.0,0.0,5888.0,1.148,1.036,1,4,Transit,2.57
Kepler-164 c,Kepler-164,2014,2.73,10.945723,0.097,881.0,0.0,5888.0,1.148,1.036,1,4,Transit,7.9
Kepler-164 d,Kepler-164,2014,2.45,28.986769,0.187,637.0,0.0,5888.0,1.148,1.036,1,4,Transit,6.57
Kepler-164 e,Kepler-164,2023,4.24,94.886902,0.4025,429.0,0.0,5888.0,1.097,0.966,1,4,Transit,16.7
Kepler-1640 b,Kepler-1640,2016,4.82,7.5844126,0.0836,1228.0,0.0,6324.0,1.43,1.27,1,1,Transit,20.7
Kepler-1641 b,Kepler-1641,2016,3.11,19.672266,0.1473,908.0,0.0,6152.0,1.19,1.12,1,2,Transit,9.85
Kepler-1641 c,Kepler-1641,2016,2.95,32.657212,0.2065,767.0,0.0,6152.0,1.19,1.12,1,2,Transit,9.01
Kepler-1642 b,Kepler-1642,2016,3.2,12.2057513,0.1016,895.0,0.0,5355.0,0.84,0.88,1,2,Transit,10.3
Kepler-1642 c,Kepler-1642,2016,2.66,6.6513802,0.0678,1095.0,0.0,5355.0,0.84,0.88,1,2,Transit,7.56
Kepler-1644 b,Kepler-1644,2016,1.88,21.0907758,0.142,606.0,0.0,5499.0,0.86,0.89,1,1,Transit,4.19
Kepler-1645 b,Kepler-1645,2016,1.78,16.1779561,0.1285,754.0,0.0,5812.0,1.02,1.02,1,1,Transit,3.82
Kepler-1646 b,Kepler-1646,2016,1.23,4.48558383,0.0295,365.0,0.0,3299.0,0.26,0.24,1,1,Transit,2.04
Kepler-1647 b,Kepler-1647,2016,11.8739,1107.5923,2.7205,242.92,0.0581,6210.0,1.7903,1.2207,2,1,Transit,483.0
Kepler-1649 b,Kepler-1649,2017,1.017,8.689099,0.0514,307.0,0.0,3240.0,0.2317,0.1977,1,2,Transit,1.03
Kepler-1649 c,Kepler-1649,2020,1.06,19.53527,0.0649,234.0,0.0,3240.0,0.2317,0.1977,1,2,Transit,1.2
Kepler-165 b,Kepler-165,2014,2.32,8.180848,0.072,716.0,0.0,5211.0,0.77,0.746,1,2,Transit,5.99
Kepler-165 c,Kepler-165,2014,2.23,15.31299,0.11,581.0,0.0,5211.0,0.77,0.746,1,2,Transit,5.6
Kepler-1650 b,Kepler-1650,2017,0.96,1.53818001,0.0167,602.0,0.01,3410.0,0.334,0.326,1,1,Transit,0.84
Kepler-1651 b,Kepler-1651,2017,1.84,9.87863917,0.0692,393.0,0.13,3713.0,0.503,0.522,2,1,Transit,4.04
Kepler-1652 b,Kepler-1652,2017,1.6,38.09722,0.1654,268.0,0.0,3638.0,0.382,0.404,1,1,Transit,3.19
Kepler-1653 b,Kepler-1653,2017,2.17,140.2524,0.4706,284.0,0.0,4807.0,0.693,0.719,1,1,Transit,5.35
Kepler-1654 b,Kepler-1654,2018,9.180171,1047.8356,2.026,206.0,0.26,5597.0,1.179,1.011,1,1,Transit,158.915
Kepler-1655 b,Kepler-1655,2018,2.213,11.8728787,0.1029,938.0,0.19,6148.0,1.03,1.03,1,1,Transit,5.4
Kepler-1656 b,Kepler-1656,2018,4.574,31.562,0.1974,651.0,0.838,5569.0,1.1,1.03,1,2,Transit,47.8
Kepler-1656 c,Kepler-1656,2022,14.0,1919.0,3.053,161.19,0.527,5569.0,1.1,1.03,1,2,Radial Velocity,126.4
Kepler-166 b,Kepler-166,2014,2.27,7.650254,0.072,772.0,0.0,5413.0,0.742,0.811,1,3,Transit,5.77
Kepler-166 c,Kepler-166,2014,2.38,34.260281,0.195,468.0,0.0,5413.0,0.742,0.811,1,3,Transit,6.26
Kepler-166 d,Kepler-166,2016,1.73,1.554003928,0.02449,1313.0,0.0,5350.0,0.83,0.88,1,3,Transit,3.64
Kepler-1661 b,Kepler-1661,2020,3.87,175.06,0.633,243.0,0.057,5100.0,0.762,0.841,2,1,Transit,17.0
Kepler-1663 b,Kepler-1663,2020,3.30395896,17.6046,0.1072,362.0,0.0,3844.0,0.62859,0.610816,1,1,Transit,10.9
Kepler-1664 b,Kepler-1664,2020,3.03320653,14.3868,0.1137,776.0,0.0,5735.81,1.072,0.944,1,1,Transit,9.45
Kepler-1666 b,Kepler-1666,2020,2.88273782,25.8476,0.1761,672.0,0.0,6293.0,1.14586,1.23,1,2,Transit,8.66
Kepler-1666 c,Kepler-1666,2020,3.23564749,40.7157,0.2383,578.0,0.0,6293.0,1.14586,1.23,1,2,Transit,10.5
Kepler-1667 b,Kepler-1667,2020,2.98385261,83.5781,0.35905,655.0,0.0,5941.54,1.08751,1.09,1,1,Transit,9.19
Kepler-1668 b,Kepler-1668,2020,4.34764405,15.434,0.124,721.0,0.0,5542.0,1.01738,0.98,1,1,Transit,17.4
Kepler-1669 b,Kepler-1669,2020,2.78043818,9.51216,0.0745,530.0,0.0,4303.0,0.714145,0.67,1,3,Transit,8.15
Kepler-1669 c,Kepler-1669,2021,1.90120972,1.609320045,0.0228,958.0,0.0,4224.0,0.603,0.609,1,3,Transit,4.27
Kepler-1669 d,Kepler-1669,2023,1.22,4.72941177,0.0468,669.0,0.0,4224.0,0.603,0.609,1,3,Transit,1.98
Kepler-167 b,Kepler-167,2014,1.718,4.3931539,0.04825,918.0,0.0,4884.0,0.749,0.777,2,4,Transit,3.6
Kepler-167 e,Kepler-167,2016,10.16,1071.23205,1.883,134.4,0.29,4884.0,0.749,0.777,2,4,Transit,321.00669107
Kepler-1670 b,Kepler-1670,2020,3.3564801,20.4998,0.1528,731.0,0.0,5838.0,1.51889,1.05,1,1,Transit,11.2
Kepler-1671 b,Kepler-1671,2020,1.32557381,4.16787,0.04946,962.0,0.0,5135.55,0.929771,0.866,1,1,Transit,2.32
Kepler-1672 b,Kepler-1672,2020,2.97022762,150.878,0.55374,423.0,0.0,6131.95,1.08841,1.16,1,1,Transit,9.11
Kepler-1673 b,Kepler-1673,2020,2.9355194,33.7888,0.21363,611.0,0.0,6014.95,1.13166,1.11,1,1,Transit,8.93
Kepler-1674 b,Kepler-1674,2020,3.2057749,62.5611,0.3017,417.0,0.0,5473.91,0.877273,0.96,1,1,Transit,10.4
Kepler-1675 b,Kepler-1675,2020,3.12483349,63.0382,0.32185,465.0,0.0,5853.19,1.12865,1.06,1,1,Transit,9.93
Kepler-1676 b,Kepler-1676,2020,3.3769596,29.9221,0.1954,782.0,0.0,5878.3,1.06066,1.07,1,1,Transit,11.3
Kepler-1678 b,Kepler-1678,2020,3.30422249,147.974,0.5302,329.0,0.0,5754.0,0.834976,1.03,1,1,Transit,10.9
Kepler-168 b,Kepler-168,2014,1.46,4.425391,0.056,1240.0,0.0,6282.0,1.107,1.113,1,2,Transit,2.73
Kepler-168 c,Kepler-168,2014,2.69,13.193242,0.116,862.0,0.0,6282.0,1.107,1.113,1,2,Transit,7.7
Kepler-1680 b,Kepler-1680,2020,1.35954736,8.77424,0.07642,771.0,0.0,5021.0,0.723259,0.834,1,1,Transit,2.42
Kepler-1681 b,Kepler-1681,2020,2.55321772,69.8956,0.32,442.0,0.0,5756.4,0.759,0.893,1,1,Transit,7.05
Kepler-1682 b,Kepler-1682,2020,2.88940836,14.8334,0.1134,694.0,0.0,5619.12,0.842301,0.99,1,1,Transit,8.7
Kepler-1683 b,Kepler-1683,2020,1.87477762,15.0337,0.1182,669.0,0.0,5429.0,0.900327,0.95,1,1,Transit,4.17
Kepler-1684 b,Kepler-1684,2020,2.87084792,47.7055,0.2253,347.0,0.0,4706.54,0.666755,0.75,1,1,Transit,8.6
Kepler-1685 b,Kepler-1685,2020,2.57673985,20.4905,0.1485,625.0,0.0,5484.0,0.835451,0.96,1,1,Transit,7.16
Kepler-1688 b,Kepler-1688,2020,1.26174569,5.62012,0.0577,772.0,0.0,4632.11,0.746,0.814,1,1,Transit,2.13
Kepler-1689 b,Kepler-1689,2020,0.94678642,8.483,0.0784,879.0,0.0,5731.43,0.996208,1.023,1,1,Transit,0.799
Kepler-169 b,Kepler-169,2014,1.13,3.250619,0.04,962.0,0.0,4997.0,0.763,0.825,1,5,Transit,1.51
Kepler-169 c,Kepler-169,2014,1.21,6.195469,0.062,776.0,0.0,4997.0,0.763,0.825,1,5,Transit,1.92
Kepler-169 e,Kepler-169,2014,2.2,13.767102,0.105,595.0,0.0,4997.0,0.763,0.825,1,5,Transit,5.48
Kepler-169 f,Kepler-169,2014,2.58,87.090195,0.359,321.0,0.0,4997.0,0.763,0.825,1,5,Transit,7.18
Kepler-1690 b,Kepler-1690,2020,2.81109223,234.636,0.7097,267.0,0.0,5404.0,0.862346,0.94,1,1,Transit,8.3
Kepler-1691 b,Kepler-1691,2020,1.83470985,3.8482,0.0495,1283.0,0.0,6000.0,1.13152,1.11,1,1,Transit,4.02
Kepler-1692 b,Kepler-1692,2020,1.11177184,5.95966,0.0646,897.0,0.0,5146.0,0.866139,0.87,1,1,Transit,1.42
Kepler-1693 b,Kepler-1693,2020,1.28938413,12.0999,0.1011,807.0,0.0,5432.34,0.878295,0.95,1,2,Transit,2.21
Kepler-1693 c,Kepler-1693,2021,0.97698289,5.363709927,0.0588,1059.0,0.0,5553.0,1.098,0.941,1,2,Transit,0.894
Kepler-1694 b,Kepler-1694,2020,1.17986031,3.89526,0.0449,956.0,0.0,4954.0,0.756284,0.82,1,1,Transit,1.76
Kepler-1695 b,Kepler-1695,2020,1.11948901,4.7329,0.0529,957.0,0.0,5473.19,0.987155,0.96,1,1,Transit,1.46
Kepler-1696 b,Kepler-1696,2020,2.80982017,65.9409,0.3244,454.0,0.0,5712.0,1.19811,1.02,1,1,Transit,8.29
Kepler-1697 b,Kepler-1697,2020,1.25954761,33.4969,0.2008,630.0,0.0,4681.53,0.772344,0.747,1,1,Transit,2.12
Kepler-1699 b,Kepler-1699,2020,1.56671124,3.49082,0.0418,1010.0,0.0,5575.53,0.725,0.81,1,1,Transit,3.08
Kepler-17 b,Kepler-17,2011,14.68,1.4857108,0.02591,1570.0,0.011,5781.0,1.01034,1.04,1,1,Transit,778.65
Kepler-170 b,Kepler-170,2014,3.2,7.930592,0.08,899.0,0.0,5679.0,1.035,1.066,1,2,Transit,82.6
Kepler-1700 b,Kepler-1700,2020,2.90129941,234.239,0.76094,329.0,0.0,6031.0,1.0937,1.12,1,1,Transit,8.76
Kepler-1701 b,Kepler-1701,2020,2.22186207,169.134,0.5738,273.0,0.0,5146.0,0.840217,0.87,1,1,Transit,5.57
Kepler-1702 b,Kepler-1702,2020,1.60190793,18.5012,0.1275,555.0,0.0,5093.0,0.725742,0.85,1,1,Transit,3.2
Kepler-1705 b,Kepler-1705,2021,2.03,9.03502,0.08,789.0,0.033,6312.0,1.259,1.139,1,2,Transit,4.47
Kepler-1705 c,Kepler-1705,2021,2.05,11.28,0.099815,751.0,0.028,6312.0,1.259,1.139,1,2,Transit,5.42
Kepler-1708 b,Kepler-1708,2021,9.96,737.1131,1.64,245.02,0.4,6157.0,1.117,1.088,1,1,Transit,1462.0106722
Kepler-1709 b,Kepler-1709,2021,3.12424875,65.70459747,0.32704,472.0,0.0,5918.0,1.043,1.003,1,1,Transit,9.93
Kepler-171 b,Kepler-171,2014,2.34,4.166972,0.05,1053.0,0.0,5642.0,0.839,0.978,1,3,Transit,6.08
Kepler-1710 b,Kepler-1710,2021,3.19744103,14.91110039,0.11583,694.0,0.0,5650.0,0.899,0.932,1,1,Transit,3.49494179
Kepler-1711 b,Kepler-1711,2021,1.923,21.06080055,0.1463,669.0,0.0,5706.0,1.034,0.94,1,1,Transit,4.36
Kepler-1712 b,Kepler-1712,2021,2.28372556,13.81499958,0.0903,391.0,0.0,3732.0,0.509,0.515,1,1,Transit,5.83
Kepler-1713 b,Kepler-1713,2021,1.71673535,18.01160049,0.14185,900.0,0.0,6477.0,1.459,1.3,1,1,Transit,3.59
Kepler-1715 b,Kepler-1715,2021,4.14042267,35.59730148,0.22429,646.0,0.0,6212.0,1.209,1.082,1,1,Transit,16.0
Kepler-1718 b,Kepler-1718,2021,2.5685207,135.1880035,0.48418,345.0,0.0,5731.0,0.906,0.846,1,1,Transit,7.12
Kepler-1719 b,Kepler-1719,2021,3.95000623,6.149559975,0.06868,1287.0,0.0,5687.0,1.775,1.08,1,1,Transit,14.8
Kepler-172 c,Kepler-172,2014,2.86,6.388996,0.068,970.0,0.0,5526.0,1.085,1.081,1,4,Transit,8.55
Kepler-172 d,Kepler-172,2014,2.25,14.627119,0.118,736.0,0.0,5526.0,1.085,1.081,1,4,Transit,5.69
Kepler-1720 b,Kepler-1720,2021,3.21585295,12.70639992,0.1043,697.0,0.0,5573.0,0.839,0.939,1,1,Transit,10.4
Kepler-1721 b,Kepler-1721,2021,3.11856756,4.592380047,0.0519,924.0,0.0,5351.0,0.796,0.89,1,1,Transit,9.9
Kepler-1723 b,Kepler-1723,2021,2.88046569,39.75289917,0.2249,568.0,0.0,6072.0,1.01,0.96,1,1,Transit,8.65
Kepler-1724 b,Kepler-1724,2021,2.83677238,6.45442009,0.0683,999.0,0.0,6092.0,0.943,1.016,1,1,Transit,8.43
Kepler-1725 b,Kepler-1725,2021,2.8125177,16.71990013,0.13263,767.0,0.0,6020.0,1.085,1.049,1,1,Transit,8.31
Kepler-1727 b,Kepler-1727,2021,3.17321625,9.029299736,0.0796,757.0,0.0,5349.0,0.82,0.824,1,1,Transit,10.2
Kepler-1728 b,Kepler-1728,2021,2.95501875,4.782999992,0.0535,886.0,0.0,5170.0,0.807,0.891,1,1,Transit,9.04
Kepler-1729 b,Kepler-1729,2021,3.89404186,4.220970154,0.0418,595.0,0.0,3837.0,0.517,0.544,1,1,Transit,14.4
Kepler-173 b,Kepler-173,2014,1.29,4.263742,0.048,1179.0,0.0,6031.0,0.949,1.067,1,2,Transit,2.21
Kepler-173 c,Kepler-173,2014,2.43,8.005777,0.074,956.0,0.0,6031.0,0.949,1.067,1,2,Transit,6.48
Kepler-1730 b,Kepler-1730,2021,4.48524519,13.81019974,0.1131,833.0,0.0,5942.0,1.142,1.009,1,1,Transit,18.4
Kepler-1731 b,Kepler-1731,2021,2.93295657,21.76129913,0.1399,486.0,0.0,4859.0,0.72,0.781,1,1,Transit,8.92
Kepler-1733 b,Kepler-1733,2021,3.63582354,9.229579926,0.0933,1021.0,0.0,6320.0,1.252,1.273,1,1,Transit,12.8
Kepler-1734 b,Kepler-1734,2021,3.08851092,6.796850204,0.0714,985.0,0.0,6061.0,0.97,1.05,1,1,Transit,9.74
Kepler-1735 b,Kepler-1735,2021,1.19429134,7.71792984,0.0621,502.0,0.0,3975.0,0.509,0.535,1,1,Transit,1.84
Kepler-1736 b,Kepler-1736,2021,3.8765856,37.81029892,0.2188,566.0,0.0,6085.0,0.973,0.976,1,1,Transit,14.3
Kepler-1737 b,Kepler-1737,2021,5.395,64.61750031,0.297,383.0,0.0,5043.0,0.881,0.834,1,1,Transit,25.1
Kepler-1738 b,Kepler-1738,2021,2.82472883,7.674630165,0.0781,957.0,0.0,6063.0,1.001,1.079,1,1,Transit,8.37
Kepler-1739 b,Kepler-1739,2021,2.43056832,7.343709946,0.0697,839.0,0.0,5757.0,0.762,0.865,1,1,Transit,6.48
Kepler-174 b,Kepler-174,2014,1.96,13.98179,0.1,553.0,0.0,4880.0,0.622,0.602,1,3,Transit,4.5
Kepler-174 c,Kepler-174,2014,1.49,44.000529,0.214,377.0,0.0,4880.0,0.622,0.602,1,3,Transit,2.83
Kepler-174 d,Kepler-174,2014,2.19,247.35373,0.677,212.0,0.0,4880.0,0.622,0.602,1,3,Transit,5.43
Kepler-1740 b,Kepler-1740,2021,3.32321414,8.172400475,0.0779,858.0,0.0,5705.0,0.905,0.943,1,1,Transit,11.0
Kepler-1741 b,Kepler-1741,2021,1.273,2.757590055,0.0296,615.0,0.0,3683.0,0.424,0.454,1,1,Transit,2.16
Kepler-1742 b,Kepler-1742,2021,2.1782413,49.47819901,0.2587,462.0,0.0,5776.0,0.849,0.939,1,1,Transit,5.38
Kepler-1743 b,Kepler-1743,2021,1.59887007,7.649710178,0.084,1144.0,0.0,5855.0,1.613,1.266,1,1,Transit,3.18
Kepler-1744 b,Kepler-1744,2021,3.76754004,37.10110092,0.20945,532.0,0.0,5986.0,0.85,0.886,1,1,Transit,13.6
Kepler-1745 b,Kepler-1745,2021,1.92872921,3.016190052,0.0408,1449.0,0.0,5611.0,1.4,0.995,1,1,Transit,4.38
Kepler-1747 b,Kepler-1747,2021,4.26508,6.230319977,0.066,875.0,0.0,5477.0,0.865,0.983,1,1,Transit,16.8
Kepler-1748 b,Kepler-1748,2021,2.71275017,5.823520184,0.0615,955.0,0.0,5774.0,0.864,0.916,1,1,Transit,7.81
Kepler-1749 b,Kepler-1749,2021,1.61301783,14.53409958,0.0956,420.0,0.0,3957.0,0.553,0.551,1,1,Transit,3.23
Kepler-175 b,Kepler-175,2014,2.56,11.903515,0.105,827.0,0.0,6064.0,1.01,0.969,1,2,Transit,7.08
Kepler-175 c,Kepler-175,2014,3.1,34.035257,0.213,583.0,0.0,6064.0,1.01,0.969,1,2,Transit,9.8
Kepler-1752 b,Kepler-1752,2021,4.54060463,56.35850143,0.2698,419.0,0.0,5446.0,0.821,0.824,1,1,Transit,18.7
Kepler-1754 b,Kepler-1754,2021,2.43996509,8.195949554,0.0718,672.0,0.0,4723.0,0.747,0.734,1,1,Transit,6.53
Kepler-1755 b,Kepler-1755,2021,5.91688317,24.81209946,0.1668,631.0,0.0,6086.0,0.921,1.003,1,1,Transit,29.4
Kepler-1756 b,Kepler-1756,2021,1.47199944,2.355750084,0.0319,1093.0,0.0,4915.0,0.812,0.781,1,1,Transit,2.77
Kepler-1758 b,Kepler-1758,2021,2.57059831,9.977210045,0.0919,1028.0,0.0,5557.0,1.616,1.035,1,1,Transit,7.13
Kepler-1759 b,Kepler-1759,2021,0.9037791,3.720230103,0.0429,954.0,0.0,5017.0,0.797,0.76,1,1,Transit,0.676
Kepler-176 b,Kepler-176,2014,1.43,5.433074,0.058,841.0,0.0,5232.0,0.891,0.86,1,4,Transit,290.537
Kepler-176 d,Kepler-176,2014,2.51,25.751974,0.163,501.0,0.0,5232.0,0.891,0.86,1,4,Transit,1.72
Kepler-176 e,Kepler-176,2016,1.45,51.16579,0.25654,398.0,0.0,5295.0,0.83,0.87,1,4,Transit,0.52075
Kepler-1760 b,Kepler-1760,2021,2.28995546,38.3260994,0.2084,480.0,0.0,5229.0,0.903,0.821,1,1,Transit,5.86
Kepler-1761 b,Kepler-1761,2021,1.39109603,4.043540001,0.0413,613.0,0.0,3871.0,0.532,0.573,1,1,Transit,2.51
Kepler-1762 b,Kepler-1762,2021,2.76022913,29.53910065,0.204,714.0,0.0,6572.0,1.238,1.298,1,1,Transit,8.05
Kepler-1763 b,Kepler-1763,2021,1.14651332,1.480280042,0.0257,1822.0,0.0,5897.0,1.259,1.026,1,1,Transit,1.59
Kepler-1765 b,Kepler-1765,2021,2.49508857,10.41889954,0.0917,855.0,0.0,5692.0,1.064,0.946,1,1,Transit,6.78
Kepler-1766 b,Kepler-1766,2021,2.27904508,105.0149994,0.4161,406.0,0.0,5868.0,1.042,0.915,1,1,Transit,5.81
Kepler-1768 b,Kepler-1768,2021,2.23346338,15.13589954,0.1286,933.0,0.0,6050.0,1.572,1.24,1,1,Transit,5.62
Kepler-1769 b,Kepler-1769,2021,4.465,89.1934967,0.40598,483.0,0.0,6071.0,1.295,1.061,1,1,Transit,18.2
Kepler-177 b,Kepler-177,2013,3.5,36.8601,0.21101,549.0,0.0,5732.0,1.324,0.921,1,2,Transit,5.84
Kepler-177 c,Kepler-177,2013,8.73,49.40926,0.25655,497.0,0.0,5732.0,1.324,0.921,1,2,Transit,14.7
Kepler-1771 b,Kepler-1771,2021,4.05537256,88.64399719,0.3815,391.0,0.0,5661.0,0.934,0.941,1,1,Transit,15.5
Kepler-1775 b,Kepler-1775,2021,3.64762153,85.65399933,0.39565,522.0,0.0,5818.0,1.647,1.149,1,1,Transit,12.9
Kepler-1776 b,Kepler-1776,2021,2.61157023,35.01190186,0.2093,603.0,0.0,5872.0,1.153,1.041,1,1,Transit,7.33
Kepler-1777 b,Kepler-1777,2021,2.13189678,12.18420029,0.10301,819.0,0.0,5771.0,1.068,0.984,1,1,Transit,5.19
